target_mass,logM,model_type,channel,duration_myr,fraction,core_SiMg,delta_SiMg_vs_clean,predicted_MgFe,core_SiFe,predicted_MH_or_dlogZoverX,predicted_stellar_mass,pred_logM,mass_residual_dex,target_MgFe,MgFe_residual,target_MH_or_dlogZoverX,metallicity_residual,M_over_L,dilution_allowed_rows,dilution_preferred_rows,allowed_fraction,classification,paper_classification,paper_note
M1e9,9.0,total-mass fixed ETG / upper-limit diagnostic,clean,,,0.1921014117348438,0.0,0.0907289009646009,0.2828303126994447,-0.1782437806080503,998370864.888506,8.999291898657683,-0.0007081013423171,0.097,-0.006271099035399,-0.181,0.0027562193919496,10.014421605101054,28,11,0.0583333333333333,normal_ETG_compatible,low_mass_upper_limit,low-mass upper-limit diagnostic; not main normal massive ETG anchor
M1e9,9.0,total-mass fixed ETG / upper-limit diagnostic,d20_f0p10,20.0,0.1,0.2456580675680049,0.053556655833161,0.0839132784606414,0.3295713460286462,-0.1666108059071813,1007025708.3295456,9.003040557786134,0.0030405577861341,0.097,-0.0130867215393586,-0.181,0.0143891940928186,9.953496670324988,27,14,0.05625,borderline,low_mass_upper_limit,low-mass upper-limit diagnostic; not main normal massive ETG anchor
M1e9,9.0,total-mass fixed ETG / upper-limit diagnostic,d40_f0p10,40.0,0.1,0.2772417851864228,0.0851403734515789,0.0818761236789334,0.3591179088653563,-0.157620779500283,1012540586.3828988,9.005412440369533,0.0054124403695325,0.097,-0.0151238763210665,-0.181,0.0233792204997169,9.91534320489218,25,12,0.0520833333333333,borderline,low_mass_upper_limit,low-mass upper-limit diagnostic; not main normal massive ETG anchor
M1e9,9.0,total-mass fixed ETG / upper-limit diagnostic,d20_f0p20,20.0,0.2,0.2930406966069213,0.1009392848720774,0.0805162347029783,0.3735569313098996,-0.1536892331397663,1015379445.992749,9.006628367870755,0.0066283678707552,0.097,-0.0164837652970216,-0.181,0.0273107668602336,9.893966346715898,24,10,0.05,borderline,low_mass_upper_limit,low-mass upper-limit diagnostic; not main normal massive ETG anchor
M1e9,9.0,total-mass fixed ETG / upper-limit diagnostic,d40_f0p20,40.0,0.2,0.3470832281960797,0.1549818164612358,0.0780695956769052,0.425152823872985,-0.1360286499385279,1026804302.0190524,9.011487679574028,0.0114876795740279,0.097,-0.0189304043230947,-0.181,0.044971350061472,9.832507802569124,16,4,0.0333333333333333,relic_strength_only,low_mass_upper_limit,low-mass upper-limit diagnostic; not main normal massive ETG anchor
M1e10,10.0,total-mass fixed ETG / upper-limit diagnostic,clean,,,0.1474627118552474,0.0,0.1597823473649187,0.3072450592201661,0.0372127402291433,9846122077.676504,9.993265216093716,-0.0067347839062854,0.159,0.0007823473649186,0.046,-0.0087872597708566,13.199891279756493,100,67,0.2083333333333333,normal_ETG_compatible,normal_ETG_compatible,multi-constraint compatible within adopted tolerance box
M1e10,10.0,total-mass fixed ETG / upper-limit diagnostic,d20_f0p10,20.0,0.1,0.1784495393216534,0.030986827466406,0.1556396078936148,0.3340891472152683,0.04253370001785,9924478705.845156,9.99670770423912,-0.0032922957608789,0.159,-0.0033603921063851,0.046,-0.0034662999821499,13.193245131307984,100,57,0.2083333333333333,normal_ETG_compatible,normal_ETG_compatible,multi-constraint compatible within adopted tolerance box
M1e10,10.0,total-mass fixed ETG / upper-limit diagnostic,d40_f0p10,40.0,0.1,0.1973610623790906,0.0498983505238432,0.1553648085844221,0.3527258709635127,0.0467262356050208,9974885178.625782,9.998907905203271,-0.0010920947967267,0.159,-0.0036351914155779,0.046,0.0007262356050208,13.19899507212727,100,50,0.2083333333333333,normal_ETG_compatible,normal_ETG_compatible,multi-constraint compatible within adopted tolerance box
M1e10,10.0,total-mass fixed ETG / upper-limit diagnostic,d20_f0p20,20.0,0.2,0.2070262683331709,0.0595635564779235,0.1546299414613912,0.3616562097945622,0.0484886378941282,9999135497.583492,9.999962453514115,-3.754648588305543e-05,0.159,-0.0043700585386088,0.046,0.0024886378941282,13.194009193499292,100,52,0.2083333333333333,borderline,borderline,boundary/upper-normal case requiring dilution or caution
M1e10,10.0,total-mass fixed ETG / upper-limit diagnostic,d40_f0p20,40.0,0.2,0.2415201852665983,0.0940574734113509,0.1549626472779892,0.3964828325445876,0.056870896053379,10103629572.412014,10.0044774153772,0.0044774153772007,0.159,-0.0040373527220108,0.046,0.010870896053379,13.216937765968758,92,36,0.1916666666666666,borderline,borderline,boundary/upper-normal case requiring dilution or caution
M1e11,11.0,total-mass fixed ETG / upper-limit diagnostic,clean,,,0.093169918806924,0.0,0.2203780580362871,0.3135479768432111,0.2344038036081432,100338473607.58228,11.001467490065798,0.0014674900657976,0.22,0.0003780580362871,0.236,-0.0015961963918567,23.018219408889376,388,97,0.8083333333333333,normal_ETG_compatible,normal_ETG_compatible,multi-constraint compatible within adopted tolerance box
M1e11,11.0,total-mass fixed ETG / upper-limit diagnostic,d20_f0p10,20.0,0.1,0.1132593120659522,0.0200893932590282,0.2181186954604762,0.3313780075264286,0.2374220864436433,101224420959.68292,11.005285301125966,0.0052853011259657,0.22,-0.0018813045395237,0.236,0.0014220864436433,23.056258843560816,368,204,0.7666666666666667,normal_ETG_compatible,normal_ETG_compatible,multi-constraint compatible within adopted tolerance box
M1e11,11.0,total-mass fixed ETG / upper-limit diagnostic,d40_f0p10,40.0,0.1,0.1256709061783796,0.0325009873714556,0.2190509473172189,0.3447218534955986,0.2397224051863813,101799066973.29596,11.00774379754685,0.0077437975468495,0.22,-0.000949052682781,0.236,0.0037224051863813,23.09856873243426,368,239,0.7666666666666667,normal_ETG_compatible,normal_ETG_compatible,multi-constraint compatible within adopted tolerance box
M1e11,11.0,total-mass fixed ETG / upper-limit diagnostic,d20_f0p20,20.0,0.2,0.131993444538778,0.038823525731854,0.2188676750227807,0.3508611195615588,0.2406936898377978,102075036167.67648,11.008919542476196,0.008919542476196,0.22,-0.0011323249772192,0.236,0.0046936898377978,23.107154090385237,368,254,0.7666666666666667,normal_ETG_compatible,normal_ETG_compatible,multi-constraint compatible within adopted tolerance box
M1e11,11.0,total-mass fixed ETG / upper-limit diagnostic,d40_f0p20,40.0,0.2,0.1553743174032415,0.0622043985963174,0.2213496186411031,0.3767239360443446,0.2453108948837659,103246705239.1524,11.013876201546006,0.0138762015460063,0.22,0.0013496186411031,0.236,0.0093108948837659,23.2017547206321,388,304,0.8083333333333333,normal_ETG_compatible,normal_ETG_compatible,multi-constraint compatible within adopted tolerance box
M1e12,12.0,core f_core=0.8 ETG,clean,,,0.0744111018940611,0.0,0.29082147324925,0.3652325751433111,0.2983544353941842,826806302471.8877,11.917403778451538,0.0143137914595943,0.285,0.00582147324925,0.31,-0.0116455646058157,33.430318917569565,460,75,0.9583333333333334,normal_ETG_compatible,normal_ETG_compatible,multi-constraint compatible within adopted tolerance box
M1e12,12.0,core f_core=0.8 ETG,d20_f0p10,20.0,0.1,0.1289421641137784,0.0545310622197172,0.2788237146012947,0.4077658787150731,0.309736052636222,860119551998.6716,11.934558820039848,0.0314688330479047,0.285,-0.0061762853987052,0.31,-0.0002639473637779,33.329382707364914,460,290,0.9583333333333334,normal_ETG_compatible,normal_ETG_compatible,multi-constraint compatible within adopted tolerance box
M1e12,12.0,core f_core=0.8 ETG,d40_f0p10,40.0,0.1,0.160092822319541,0.0856817204254799,0.2829917526579701,0.4430845749775113,0.3179028179636236,884436437877.3998,11.946666626764094,0.0435766397721497,0.285,-0.0020082473420298,0.31,0.0079028179636236,33.515815592927865,460,370,0.9583333333333334,normal_ETG_compatible,normal_ETG_compatible,multi-constraint compatible within adopted tolerance box
